STA Awal,STA Akhir,Long,Lat,Segment
73825,73830,107.480141,-6.442382263,Cikopo - Kalijati
73830,73835,107.4801842,-6.44239551,Cikopo - Kalijati
73835,73840,107.4802274,-6.442408757,Cikopo - Kalijati
73840,73845,107.4802706,-6.442422005,Cikopo - Kalijati
73845,73850,107.4803138,-6.442435252,Cikopo - Kalijati
73850,73855,107.4803569,-6.442448499,Cikopo - Kalijati
73855,73860,107.4804001,-6.442461747,Cikopo - Kalijati
73860,73865,107.4804433,-6.442474994,Cikopo - Kalijati
73865,73870,107.4804865,-6.442488241,Cikopo - Kalijati
73870,73875,107.4805297,-6.442501489,Cikopo - Kalijati
73875,73880,107.4805729,-6.442514736,Cikopo - Kalijati
73880,73885,107.4806161,-6.442527983,Cikopo - Kalijati
73885,73890,107.4806593,-6.442541231,Cikopo - Kalijati
73890,73895,107.4807025,-6.442554478,Cikopo - Kalijati
73895,73900,107.4807457,-6.442567725,Cikopo - Kalijati
73900,73905,107.4807888,-6.442580973,Cikopo - Kalijati
73905,73910,107.480832,-6.44259422,Cikopo - Kalijati
73910,73915,107.4808752,-6.442607467,Cikopo - Kalijati
73915,73920,107.4809184,-6.442620715,Cikopo - Kalijati
73920,73925,107.4809616,-6.442633962,Cikopo - Kalijati
73925,73930,107.4810048,-6.442647209,Cikopo - Kalijati
73930,73935,107.481048,-6.442660456,Cikopo - Kalijati
73935,73940,107.4810912,-6.442673704,Cikopo - Kalijati
73940,73945,107.4811344,-6.442686951,Cikopo - Kalijati
73945,73950,107.4811776,-6.442700198,Cikopo - Kalijati
73950,73955,107.4812208,-6.442713446,Cikopo - Kalijati
73955,73960,107.4812639,-6.442726693,Cikopo - Kalijati
73960,73965,107.4813071,-6.44273994,Cikopo - Kalijati
73965,73970,107.4813503,-6.442753187,Cikopo - Kalijati
73970,73975,107.4813935,-6.442766435,Cikopo - Kalijati
73975,73980,107.4814367,-6.442779682,Cikopo - Kalijati
73980,73985,107.4814799,-6.442792929,Cikopo - Kalijati
73985,73990,107.4815231,-6.442806176,Cikopo - Kalijati
73990,73995,107.4815663,-6.442819423,Cikopo - Kalijati
73995,74000,107.4816095,-6.442832671,Cikopo - Kalijati
74000,74005,107.4816527,-6.442845918,Cikopo - Kalijati
74005,74010,107.4816958,-6.442859168,Cikopo - Kalijati
74010,74015,107.481739,-6.442872418,Cikopo - Kalijati
74015,74020,107.4817822,-6.442885668,Cikopo - Kalijati
74020,74025,107.4818254,-6.442898918,Cikopo - Kalijati
74025,74030,107.4818686,-6.442912168,Cikopo - Kalijati
74030,74035,107.4819118,-6.442925417,Cikopo - Kalijati
74035,74040,107.481955,-6.442938667,Cikopo - Kalijati
74040,74045,107.4819982,-6.442951917,Cikopo - Kalijati
74045,74050,107.4820414,-6.442965167,Cikopo - Kalijati
74050,74055,107.4820846,-6.442978417,Cikopo - Kalijati
74055,74060,107.4821277,-6.442991667,Cikopo - Kalijati
74060,74065,107.4821709,-6.443004917,Cikopo - Kalijati
74065,74070,107.4822141,-6.443018167,Cikopo - Kalijati
74070,74075,107.4822573,-6.443031417,Cikopo - Kalijati
74075,74080,107.4823005,-6.443044667,Cikopo - Kalijati
74080,74085,107.4823437,-6.443057916,Cikopo - Kalijati
74085,74090,107.4823869,-6.443071166,Cikopo - Kalijati
74090,74095,107.4824301,-6.443084416,Cikopo - Kalijati
74095,74100,107.4824733,-6.443097666,Cikopo - Kalijati
74100,74105,107.4825165,-6.443110916,Cikopo - Kalijati
74105,74110,107.4825596,-6.443124166,Cikopo - Kalijati
74110,74115,107.4826028,-6.443137416,Cikopo - Kalijati
74115,74120,107.482646,-6.443150665,Cikopo - Kalijati
74120,74125,107.4826892,-6.443163915,Cikopo - Kalijati
74125,74130,107.4827324,-6.443177165,Cikopo - Kalijati
74130,74135,107.4827756,-6.443190415,Cikopo - Kalijati
74135,74140,107.4828188,-6.443203665,Cikopo - Kalijati
74140,74145,107.482862,-6.443216915,Cikopo - Kalijati
74145,74150,107.4829052,-6.443230164,Cikopo - Kalijati
74150,74155,107.4829483,-6.443243414,Cikopo - Kalijati
74155,74160,107.4829915,-6.443256664,Cikopo - Kalijati
74160,74165,107.4830347,-6.443269914,Cikopo - Kalijati
74165,74170,107.4830779,-6.443283164,Cikopo - Kalijati
74170,74175,107.4831211,-6.443296413,Cikopo - Kalijati
74175,74180,107.4831643,-6.443309663,Cikopo - Kalijati
74180,74185,107.4832075,-6.443322913,Cikopo - Kalijati
74185,74190,107.4832507,-6.443336163,Cikopo - Kalijati
74190,74195,107.4832939,-6.443349413,Cikopo - Kalijati
74195,74200,107.4833371,-6.443362662,Cikopo - Kalijati
74200,74205,107.4833802,-6.443375913,Cikopo - Kalijati
74205,74210,107.4834232,-6.443389807,Cikopo - Kalijati
74210,74215,107.4834662,-6.443403702,Cikopo - Kalijati
74215,74220,107.4835092,-6.443417597,Cikopo - Kalijati
74220,74225,107.4835522,-6.443431492,Cikopo - Kalijati
74225,74230,107.4835952,-6.443445387,Cikopo - Kalijati
74230,74235,107.4836382,-6.443459282,Cikopo - Kalijati
74235,74240,107.4836812,-6.443473176,Cikopo - Kalijati
74240,74245,107.4837241,-6.443487071,Cikopo - Kalijati
74245,74250,107.4837671,-6.443500966,Cikopo - Kalijati
74250,74255,107.4838101,-6.443514861,Cikopo - Kalijati
74255,74260,107.4838531,-6.443528756,Cikopo - Kalijati
